Time,*gc_ldsq_t0/SQ_CAC_sig0_active,*gc_ldsq_t0/SQ_CAC_sig1_active,*gc_ldsq_t0/SQ_CAC_sig2_active,*gc_ldsq_t0/SQ_CAC_sig3_active,*gc_ldsq_t0/SQ_CAC_sig4_active,*gc_ldsq_t0/SQ_CAC_sig5_active,*gc_ldsq_t0/SQ_CAC_sig6_active,*gc_ldsq_t0/SQ_CAC_sig7_active,*gc_ldsq_t0/SQ_CAC_sig8_active,gc_sp_t
25316494,0,0,0,0,0,0,0,0,0,0.06002
25316563,0,0,0,0,0,0,0,0,0,0.06019
25316632,0,0,0,0,0,0,0,0,0,0.05972
25316701,0,0,0,0,0,0,0,0,0,0.05947
25316770,0,0,0,0,0,0,0,0,0,0.06002
25316839,0,0,0,0,0,0,0,0,0,0.06019
25316908,0,0,0,0,0,0,0,0,0,0.0597
25316977,0,0,0,0,0,0,0,0,0,0.05948
25317046,0,0,0,0,0,0,0,0,0,0.06002
25317115,0,0,0,0,0,0,0,0,0,0.06019
25317184,0,0,0,0,0,0,0,0,0,0.05971
25317253,0,0,0,0,0,0,0,0,0,0.05947
25317322,0,0,0,0,0,0,0,0,0,0.06001
25317391,0,0,0,0,0,0,0,0,0,0.06019
25317460,0,0,0,0,0,0,0,0,0,0.0597
25317529,0,0,0,0,0,0,0,0,0,0.05947
25317598,0,0,0,0,0,0,0,0,0,0.06001
25317667,0,0,0,0,0,0,0,0,0,0.06019
25317736,0,0,0,0,0,0,0,0,0,0.0597
25317805,0,0,0,0,0,0,0,0,0,0.05948
25317874,0,0,0,0,0,0,0,0,0,0.0392
25317943,0,0,0,0,0,0,0,0,0,0.06028
25318012,0,0,0,0,0,0,0,0,0,0.05961
25318081,0,0,0,0,0,0,0,0,0,0.05961
25318150,0,0,0,0,0,0,0,0,0,0.05986
25318219,0,0,0,0,0,0,0,0,0,0.06028
25318288,0,0,0,0,0,0,0,0,0,0.05962
25318357,0,0,0,0,0,0,0,0,0,0.05962
25318426,0,0,0,0,0,0,0,0,0,0.05987
25318495,0,0,0,0,0,0,0,0,0,0.06028
25318564,0,0,0,0,0,0,0,0,0,0.05961
25318633,0,0,0,0,0,0,0,0,0,0.05963
25318702,0,0,0,0,0,0,0,0,0,0.05987
25318771,0,0,0,0,0,0,0,0,0,0.0603
25318840,0,0,0,0,0,0,0,0,0,0.05961
25318909,0,0,0,0,0,0,0,0,0,0.05962
25318978,0,0,0,0,0,0,0,0,0,0.05987
25319047,0,0,0,0,0,0,0,0,0,0.06028
25319116,0,0,0,0,0,0,0,0,0,0.05959
25319185,0,0,0,0,0,0,0,0,0,0.05961
25319254,0,0,0,0,0,0,0,0,0,0.05986
25319323,0,0,0,0,0,0,0,0,0,0.06029
25319392,0,0,0,0,0,0,0,0,0,0.05959
